DAZ    	  121772	 CCH3   	   82074	  0.39522
DAZ    	  121779	 CCH3   	   59256	  0.39243
DAZ    	  121859	 CCH3   	   37966	  0.39837
DAZ    	  121902	 CCH3   	  111500	  0.39294
DAZ    	  121929	 CCH3   	    3852	  0.38652
DAZ    	  121949	 CCH3   	   87752	  0.40062
DAZ    	  121952	 CCH3   	   50322	  0.39749
DAZ    	  121959	 CCH3   	   54146	  0.39912
DAZ    	  121972	 CCH3   	  110718	  0.38833
DAZ    	  121999	 CCH3   	   26888	  0.41110
DAZ    	  122032	 CCH3   	   63096	  0.38626
DAZ    	  122149	 CCH3   	   14944	  0.38794
DAZ    	  122152	 CCH3   	    7314	  0.39256
DAZ    	  122172	 CCH3   	   86776	  0.41110
DAZ    	  122269	 CCH3   	  106200	  0.41255
DAZ    	  122329	 CCH3   	   64342	  0.38884
DAZ    	  122342	 CCH3   	   28502	  0.38949
DAZ    	  122349	 CCH3   	   41984	  0.40768
DAZ    	  122352	 CCH3   	   54604	  0.40731
DAZ    	  122389	 CCH3   	   14960	  0.41413
DAZ    	  122392	 CCH3   	  119708	  0.37815
DAZ    	  122482	 CCH3   	   82208	  0.39064
DAZ    	  122512	 CCH3   	    6610	  0.39522
DAZ    	  122549	 CCH3   	   47068	  0.39102
DAZ    	  122642	 CCH3   	   77788	  0.39825
DAZ    	  122652	 CCH3   	   80338	  0.39762
DAZ    	  122682	 CCH3   	    3460	  0.38897
DAZ    	  122689	 CCH3   	   87006	  0.39724
DAZ    	  122739	 CCH3   	   55360	  0.41146
DAZ    	  122752	 CCH3   	   49638	  0.41413
DAZ    	  122869	 CCH3   	  108242	  0.41012
DAZ    	  122872	 CCH3   	   64302	  0.38613
DAZ    	  122879	 CCH3   	   46578	  0.41037
DAZ    	  122882	 CCH3   	   48324	  0.41243
DAZ    	  122889	 CCH3   	   10124	  0.37974
DAZ    	  122892	 CCH3   	   18818	  0.41413
DAZ    	  122899	 CCH3   	   35488	  0.39102
DAZ    	  122909	 CCH3   	   67690	  0.37815
DAZ    	  122942	 CCH3   	    6430	  0.40755
DAZ    	  122949	 CCH3   	   81156	  0.38626
DAZ    	  122952	 CCH3   	  116624	  0.38601
DAZ    	  122972	 CCH3   	   59378	  0.40694
DAZ    	  123019	 CCH3   	  102476	  0.38471
DAZ    	  123022	 CCH3   	   57482	  0.39611
DAZ    	  123029	 CCH3   	   10642	  0.38341
DAZ    	  123032	 CCH3   	   75820	  0.39294
DAZ    	  123039	 CCH3   	   24016	  0.40125
DAZ    	  123082	 CCH3   	   96380	  0.39230
DAZ    	  123089	 CCH3   	   27688	  0.41255
DAZ    	  123092	 CCH3   	   26476	  0.39115
DAZ    	  123099	 CCH3   	    2330	  0.39560
DAZ    	  123102	 CCH3   	   51468	  0.40755
DAZ    	  123109	 CCH3   	   27434	  0.41231
DAZ    	  123162	 CCH3   	   95632	  0.40915
DAZ    	  123189	 CCH3   	  119884	  0.41061
DAZ    	  123212	 CCH3   	   15322	  0.41304
DAZ    	  123242	 CCH3   	   21596	  0.39230
DAZ    	  123262	 CCH3   	   10106	  0.38328
DAZ    	  123289	 CCH3   	   18236	  0.41243
DAZ    	  123329	 CCH3   	   82894	  0.40866
DAZ    	  123339	 CCH3   	   12716	  0.41158
DAZ    	  123342	 CCH3   	   48972	  0.38678
DAZ    	  123432	 CCH3   	   96730	  0.40460
DAZ    	  123439	 CCH3   	   50002	  0.39573
DAZ    	  123442	 CCH3   	   13028	  0.38717
DAZ    	  123452	 CCH3   	   29368	  0.39217
DAZ    	  123459	 CCH3   	   13302	  0.39925
DAZ    	  123462	 CCH3   	   41268	  0.41388
DAZ    	  123472	 CCH3   	   66298	  0.40608
DAZ    	  123479	 CCH3   	   98938	  0.41340
DAZ    	  123509	 CCH3   	   95670	  0.40175
DAZ    	  123512	 CCH3   	   45192	  0.37961
DAZ    	  123562	 CCH3   	   75378	  0.40608
DAZ    	  123569	 CCH3   	   61216	  0.40311
DAZ    	  123579	 CCH3   	   91364	  0.38884
DAZ    	  123589	 CCH3   	   76966	  0.38432
DAZ    	  123622	 CCH3   	   94270	  0.39332
DAZ    	  123629	 CCH3   	   21688	  0.39825
DAZ    	  123642	 CCH3   	   86536	  0.41219
DAZ    	  123672	 CCH3   	   54662	  0.40012
DAZ    	  282829	 CCH3   	   54690	  0.39560
DAZ    	  282842	 CCH3   	   74416	  0.41097
DAZ    	  282852	 CCH3   	   86564	  0.39737
DAZ    	  282859	 CCH3   	   95810	  0.39762
DAZ    	  282899	 CCH3   	   39972	  0.41340
DAZ    	  282909	 CCH3   	   40152	  0.38949
DAZ    	  282949	 CCH3   	    6892	  0.39154
DAZ    	  282969	 CCH3   	   60134	  0.40963
DAZ    	  282992	 CCH3   	   46240	  0.40866
DAZ    	  283002	 CCH3   	   73804	  0.38613
DAZ    	  283032	 CCH3   	   55804	  0.41304
DAZ    	  283092	 CCH3   	   63500	  0.40311
DAZ    	  283139	 CCH3   	   21316	  0.41388
DAZ    	  283142	 CCH3   	    5896	  0.37855
DAZ    	  283149	 CCH3   	   23986	  0.40719
DAZ    	  283209	 CCH3   	   97618	  0.37776
DAZ    	  283352	 CCH3   	  112808	  0.39799
DAZ    	  283389	 CCH3   	   26010	  0.40817
DAZ    	  283442	 CCH3   	   82598	  0.38484
DAZ    	  283449	 CCH3   	   25024	  0.40915
DAZ    	  283452	 CCH3   	   65460	  0.40472
DAZ    	  283482	 CCH3   	   76618	  0.41413
DAZ    	  283489	 CCH3   	   61092	  0.39900
DAZ    	  283502	 CCH3   	   35974	  0.40311
DAZ    	  283529	 CCH3   	   86800	  0.37908
DAZ    	  283599	 CCH3   	    9678	  0.41255
DAZ    	  283602	 CCH3   	   54754	  0.38601
DAZ    	  283662	 CCH3   	  116848	  0.41449
DAZ    	  283682	 CCH3   	   44652	  0.38949
DAZ    	  283692	 CCH3   	   53808	  0.40299
DAZ    	  283699	 CCH3   	      10	  0.41304
DAZ    	  283719	 CCH3   	   58688	  0.38419
DAZ    	  283752	 CCH3   	  114348	  0.41413
DAZ    	  283759	 CCH3   	   97072	  0.40534
DAZ    	  283799	 CCH3   	   14956	  0.40706
DAZ    	  283822	 CCH3   	   21740	  0.40915
DAZ    	  283829	 CCH3   	   28054	  0.39051
DAZ    	  283982	 CCH3   	   42144	  0.38341
DAZ    	  283989	 CCH3   	  100834	  0.39446
DAZ    	  284012	 CCH3   	  117546	  0.37815
DAZ    	  284049	 CCH3   	  105396	  0.40817
DAZ    	  284109	 CCH3   	   75874	  0.38884
DAZ    	  284122	 CCH3   	   90780	  0.40719
